year,month,day,daysSince,monthsSince,place,bikecount
2016,1,4,0,1,08SOMO,4
2016,1,5,1,1,08SOMO,8
2016,1,6,2,1,08SOMO,4
2016,1,0,3,1,08SOMO,16
2016,1,1,4,1,08SOMO,70
2016,1,2,5,1,08SOMO,90
2016,1,3,6,1,08SOMO,112
2016,1,4,7,1,08SOMO,108
2016,1,5,8,1,08SOMO,30
2016,1,6,9,1,08SOMO,14
2016,1,0,10,1,08SOMO,86
2016,1,1,11,1,08SOMO,34
2016,1,2,12,1,08SOMO,12
2016,1,3,13,1,08SOMO,2
2016,1,4,14,1,08SOMO,40
2016,1,5,15,1,08SOMO,6
2016,1,6,16,1,08SOMO,10
2016,1,0,17,1,08SOMO,52
2016,1,1,18,1,08SOMO,56
2016,1,2,19,1,08SOMO,62
2016,1,3,20,1,08SOMO,98
2016,1,4,21,1,08SOMO,92
2016,1,5,22,1,08SOMO,26
2016,1,6,23,1,08SOMO,24
2016,1,0,24,1,08SOMO,76
2016,1,1,25,1,08SOMO,104
2016,1,2,26,1,08SOMO,72
2016,1,3,27,1,08SOMO,90
2016,1,4,28,1,08SOMO,42
2016,1,5,29,1,08SOMO,12
2016,1,6,30,1,08SOMO,22
2016,2,0,31,2,08SOMO,136
2016,2,1,32,2,08SOMO,132
2016,2,2,33,2,08SOMO,36
2016,2,3,34,2,08SOMO,104
2016,2,4,35,2,08SOMO,106
2016,2,5,36,2,08SOMO,64
2016,2,6,37,2,08SOMO,52
2016,2,0,38,2,08SOMO,108
2016,2,1,39,2,08SOMO,90
2016,2,2,40,2,08SOMO,78
2016,2,3,41,2,08SOMO,44
2016,2,4,42,2,08SOMO,36
2016,2,5,43,2,08SOMO,2
2016,2,6,44,2,08SOMO,4
2016,2,0,45,2,08SOMO,28
2016,2,1,46,2,08SOMO,2
2016,2,2,47,2,08SOMO,2
2016,2,3,48,2,08SOMO,4
2016,2,4,49,2,08SOMO,10
2016,2,5,50,2,08SOMO,6
2016,2,6,51,2,08SOMO,30
2016,2,0,52,2,08SOMO,80
2016,2,1,53,2,08SOMO,86
2016,2,2,54,2,08SOMO,10
2016,2,3,55,2,08SOMO,12
2016,2,4,56,2,08SOMO,52
2016,2,5,57,2,08SOMO,34
2016,2,6,58,2,08SOMO,12
2016,2,0,59,2,08SOMO,68
2016,3,1,60,3,08SOMO,70
2016,3,2,61,3,08SOMO,24
2016,3,3,62,3,08SOMO,82
2016,3,4,63,3,08SOMO,74
2016,3,5,64,3,08SOMO,32
2016,3,6,65,3,08SOMO,40
2016,3,0,66,3,08SOMO,78
2016,3,1,67,3,08SOMO,128
2016,3,2,68,3,08SOMO,138
2016,3,3,69,3,08SOMO,136
2016,3,4,70,3,08SOMO,164
2016,3,5,71,3,08SOMO,140
2016,3,6,72,3,08SOMO,154
2016,3,0,73,3,08SOMO,114
2016,3,1,74,3,08SOMO,144
2016,3,2,75,3,08SOMO,176
2016,3,3,76,3,08SOMO,208
2016,3,4,77,3,08SOMO,204
2016,3,5,78,3,08SOMO,128
2016,3,6,79,3,08SOMO,120
2016,3,0,80,3,08SOMO,216
2016,3,1,81,3,08SOMO,232
2016,3,2,82,3,08SOMO,200
2016,3,3,83,3,08SOMO,30
2016,3,4,84,3,08SOMO,34
2016,3,5,85,3,08SOMO,112
2016,3,6,86,3,08SOMO,142
2016,3,0,87,3,08SOMO,54
2016,3,1,88,3,08SOMO,270
2016,3,2,89,3,08SOMO,360
2016,3,3,90,3,08SOMO,174
2016,1,0,3,1,08SOMO,320
2016,2,3,34,2,08SOMO,154
2016,3,4,63,3,08SOMO,104
2016,4,0,94,4,08SOMO,218
2016,5,2,124,5,08SOMO,288
2016,6,5,155,6,08SOMO,88
2016,7,0,185,7,08SOMO,110
2016,8,3,216,8,08SOMO,140
2016,9,6,247,9,08SOMO,106
2016,10,1,277,10,08SOMO,136
2016,11,4,308,11,08SOMO,108
2016,12,6,338,12,08SOMO,290
2016,4,2,103,4,08SOMO,392
2016,4,3,104,4,08SOMO,452
2016,4,4,105,4,08SOMO,490
2016,4,5,106,4,08SOMO,450
2016,4,6,107,4,08SOMO,458
2016,4,0,108,4,08SOMO,482
2016,4,1,109,4,08SOMO,596
2016,4,2,110,4,08SOMO,612
2016,4,3,111,4,08SOMO,694
2016,4,4,112,4,08SOMO,320
2016,4,5,113,4,08SOMO,364
2016,4,6,114,4,08SOMO,330
2016,4,0,115,4,08SOMO,528
2016,4,1,116,4,08SOMO,560
2016,4,2,117,4,08SOMO,530
2016,4,3,118,4,08SOMO,480
2016,4,4,119,4,08SOMO,706
2016,4,5,120,4,08SOMO,538
2016,1,1,4,1,08SOMO,162
2016,2,4,35,2,08SOMO,484
2016,3,5,64,3,08SOMO,666
2016,4,1,95,4,08SOMO,728
2016,5,3,125,5,08SOMO,744
2016,6,6,156,6,08SOMO,776
2016,7,1,186,7,08SOMO,544
2016,8,4,217,8,08SOMO,288
2016,9,0,248,9,08SOMO,704
2016,10,2,278,10,08SOMO,860
2016,11,5,309,11,08SOMO,960
2016,12,0,339,12,08SOMO,992
2016,5,4,133,5,08SOMO,544
2016,5,5,134,5,08SOMO,414
2016,5,6,135,5,08SOMO,236
2016,5,0,136,5,08SOMO,588
2016,5,1,137,5,08SOMO,822
2016,5,2,138,5,08SOMO,854
2016,5,3,139,5,08SOMO,796
2016,5,4,140,5,08SOMO,902
2016,5,5,141,5,08SOMO,564
2016,5,6,142,5,08SOMO,504
2016,5,0,143,5,08SOMO,486
2016,5,1,144,5,08SOMO,736
2016,5,2,145,5,08SOMO,948
2016,5,3,146,5,08SOMO,900
2016,5,4,147,5,08SOMO,874
2016,5,5,148,5,08SOMO,680
2016,5,6,149,5,08SOMO,784
2016,5,0,150,5,08SOMO,924
2016,5,1,151,5,08SOMO,1034
2016,1,2,5,1,08SOMO,1056
2016,2,5,36,2,08SOMO,548
2016,3,6,65,3,08SOMO,1046
2016,4,2,96,4,08SOMO,1014
2016,5,4,126,5,08SOMO,168
2016,6,0,157,6,08SOMO,808
2016,7,2,187,7,08SOMO,852
2016,8,5,218,8,08SOMO,800
2016,9,1,249,9,08SOMO,774
2016,10,3,279,10,08SOMO,858
2016,11,6,310,11,08SOMO,278
2016,12,1,340,12,08SOMO,304
2016,6,0,164,6,08SOMO,840
2016,6,1,165,6,08SOMO,1052
2016,6,2,166,6,08SOMO,1100
