team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
BUF,2022,BUF,BUF,Team Level,other,58,0.51,0.45,0.43,6856.0,93.4,30.02,6.11,15.59,3.04,42.43,30.82,27.7,30.02,27.7,94.0,34.0,42.0,170.0,28.0,9.0,1.0,15.0,9.0,38.0,29.0,66.0,100.0,4.0,8.0,84.0,16.0,16.0,13.0,50.0,35.0,43.0,1.93,4.62,23.47,1.0,9.0,18.0,170.0,128.0,128.0,7.0,1.74,2.56,2.56,29.19,29.19,27.19,123.44,28.88,9.37,20.96,4.09,71.44,36.25,25.56,28.88,25.56,124.0,47.0,37.0,208.0,24.0,11.0,1.0,21.0,3.0,69.0,43.0,100.0,147.0,7.0,14.0,112.0,12.0,13.0,11.0,82.0,52.0,37.0,3.12,6.47,19.29,4.0,5.0,15.0,208.0,171.0,171.0,4.0,2.63,3.11,3.35,28.16,28.16,25.9
BUF,2022,BUF,BUF,Team Level,all,58,0.49,0.51,0.5,210703.0,1859.69,201.53,128.77,413.68,60.15,1002.12,736.74,190.96,202.19,191.64,1878.0,665.0,834.0,3377.0,219.0,167.0,14.0,396.0,70.0,796.0,895.0,1659.0,2324.0,202.0,419.0,1565.0,807.0,419.0,367.0,1785.0,556.0,202.0,57.01,67.98,76.54,64.0,85.0,70.0,3394.24,2543.0,2555.21,168.0,28.34,34.19,34.24,195.63,196.53,189.72,1869.0,206.29,131.87,418.78,61.39,1024.75,727.93,196.28,206.34,196.34,1912.0,659.0,644.0,3215.0,202.0,182.0,33.0,431.0,51.0,776.0,930.0,1710.0,2369.0,230.0,472.0,1858.0,1267.0,441.0,401.0,1762.0,594.0,215.0,54.95,72.82,78.52,64.0,72.0,66.0,3212.66,2571.0,2570.42,202.0,29.34,40.28,40.28,195.36,195.58,190.07
BUF,2022,BUF,BUF,Team Level,5on5,58,0.49,0.52,0.51,170455.0,1461.01,127.32,97.83,339.23,47.29,792.9,592.43,122.56,127.97,123.24,1459.0,538.0,659.0,2656.0,142.0,127.0,7.0,331.0,48.0,632.0,717.0,1317.0,1855.0,169.0,353.0,1215.0,733.0,347.0,297.0,1466.0,429.0,102.0,47.57,52.23,27.51,55.0,62.0,25.0,2673.24,1997.0,2009.21,142.0,20.18,23.42,23.47,124.03,124.93,122.95,1418.76,132.29,95.73,333.44,46.91,773.05,571.58,127.56,132.33,127.62,1462.0,491.0,524.0,2477.0,134.0,141.0,23.0,359.0,42.0,549.0,729.0,1328.0,1819.0,202.0,416.0,1433.0,1187.0,366.0,337.0,1379.0,459.0,115.0,43.52,56.48,32.29,54.0,59.0,21.0,2474.66,1953.0,1952.42,179.0,19.85,28.35,28.11,124.02,124.24,122.19
BUF,2022,BUF,BUF,Team Level,4on5,58,0.15,0.16,0.16,15151.0,54.59,6.96,3.17,7.47,1.71,16.48,36.21,6.71,6.96,6.71,63.0,9.0,15.0,87.0,6.0,6.0,1.0,4.0,0.0,9.0,47.0,57.0,66.0,10.0,20.0,98.0,46.0,48.0,14.0,39.0,24.0,9.0,1.2,3.2,2.57,1.0,2.0,3.0,87.0,72.0,72.0,13.0,0.72,1.6,1.6,6.08,6.08,6.05,275.61,39.11,23.88,57.0,8.88,164.43,86.72,37.33,39.11,37.33,273.0,107.0,79.0,459.0,41.0,29.0,9.0,46.0,5.0,146.0,113.0,232.0,339.0,9.0,18.0,161.0,13.0,13.0,39.0,258.0,68.0,54.0,7.07,7.79,24.25,5.0,6.0,30.0,459.0,380.0,380.0,5.0,6.21,8.49,8.49,36.83,36.83,35.7
BUF,2022,BUF,BUF,Team Level,5on4,58,0.86,0.87,0.84,18241.0,250.69,37.24,21.67,51.39,8.12,150.31,77.27,33.99,37.24,33.99,262.0,84.0,118.0,464.0,43.0,25.0,5.0,46.0,13.0,117.0,102.0,219.0,303.0,19.0,38.0,168.0,12.0,8.0,43.0,230.0,68.0,48.0,6.32,7.93,22.99,7.0,12.0,24.0,464.0,346.0,346.0,6.0,5.7,6.61,6.61,36.33,36.33,33.52,51.18,6.02,2.89,7.39,1.51,15.83,33.37,5.84,6.02,5.84,53.0,14.0,4.0,71.0,3.0,1.0,0.0,5.0,1.0,12.0,45.0,50.0,64.0,12.0,24.0,152.0,55.0,49.0,14.0,43.0,15.0,9.0,1.24,2.08,2.7,1.0,2.0,0.0,71.0,67.0,67.0,14.0,0.66,0.32,0.32,6.35,6.35,6.28
SJS,2022,SJS,SJS,Team Level,other,60,0.46,0.47,0.46,7346.0,108.9,26.06,7.68,17.75,3.67,57.08,36.76,22.33,26.06,22.33,107.0,42.0,53.0,202.0,20.0,9.0,0.0,23.0,1.0,50.0,46.0,87.0,129.0,7.0,14.0,89.0,30.0,19.0,13.0,73.0,39.0,37.0,3.04,4.67,18.34,3.0,5.0,12.0,202.0,149.0,149.0,2.0,2.19,3.07,3.07,25.18,25.18,22.09,125.09,30.21,8.85,21.51,4.33,62.78,44.33,28.36,30.21,28.36,127.0,45.0,56.0,228.0,34.0,14.0,3.0,18.0,5.0,51.0,50.0,93.0,138.0,6.0,12.0,95.0,21.0,27.0,13.0,98.0,34.0,40.0,3.83,4.17,22.2,7.0,7.0,20.0,228.0,172.0,172.0,5.0,2.55,4.65,4.65,28.11,28.11,27.51
SJS,2022,SJS,SJS,Team Level,all,60,0.5,0.48,0.49,218900.0,1813.84,197.64,132.56,412.19,60.33,993.73,705.54,186.83,197.86,186.99,1792.0,710.0,887.0,3389.0,178.0,191.0,32.0,383.0,54.0,758.0,938.0,1614.0,2324.0,207.0,485.0,1774.0,1384.0,552.0,481.0,1724.0,553.0,225.0,53.85,68.68,75.11,57.0,63.0,58.0,3372.0,2502.0,2491.68,230.0,29.26,43.46,43.46,183.44,183.23,176.78,1906.37,195.78,136.88,432.17,63.88,1060.86,764.42,187.13,197.25,188.53,1875.0,779.0,970.0,3624.0,217.0,175.0,30.0,473.0,65.0,801.0,924.0,1658.0,2437.0,183.0,433.0,1764.0,1298.0,554.0,479.0,1909.0,543.0,202.0,59.18,66.0,70.59,74.0,83.0,60.0,3654.72,2654.0,2676.86,228.0,30.27,38.5,38.55,187.49,188.82,184.48
SJS,2022,SJS,SJS,Team Level,5on5,60,0.52,0.49,0.49,177986.0,1452.48,141.06,102.61,345.33,48.59,794.73,576.69,135.62,141.29,135.78,1424.0,585.0,724.0,2733.0,130.0,151.0,26.0,315.0,46.0,605.0,762.0,1294.0,1879.0,188.0,447.0,1399.0,1307.0,459.0,415.0,1418.0,437.0,154.0,44.53,54.33,42.2,49.0,52.0,29.0,2716.0,2009.0,1998.68,209.0,21.33,32.08,32.08,130.31,130.09,127.63,1473.49,130.69,100.47,348.23,49.27,818.73,605.6,126.24,132.16,127.64,1465.0,588.0,761.0,2814.0,149.0,129.0,21.0,388.0,51.0,622.0,715.0,1316.0,1904.0,166.0,399.0,1379.0,1211.0,463.0,389.0,1522.0,407.0,124.0,46.71,49.63,34.35,60.0,64.0,25.0,2844.72,2053.0,2075.86,203.0,20.78,26.19,26.24,125.24,126.57,124.46
SJS,2022,SJS,SJS,Team Level,4on5,60,0.07,0.09,0.1,18206.0,33.07,2.35,1.36,4.4,0.9,9.74,24.25,2.35,2.35,2.35,39.0,4.0,9.0,52.0,2.0,0.0,0.0,10.0,1.0,3.0,27.0,37.0,41.0,5.0,10.0,133.0,34.0,56.0,17.0,34.0,7.0,2.0,0.78,0.89,0.68,1.0,0.0,1.0,52.0,43.0,43.0,14.0,0.33,0.0,0.0,2.68,2.68,2.67,265.9,30.37,25.36,56.46,8.98,165.81,85.01,28.04,30.37,28.04,240.0,132.0,142.0,514.0,27.0,31.0,5.0,59.0,7.0,123.0,125.0,213.0,345.0,8.0,16.0,177.0,20.0,20.0,59.0,250.0,90.0,32.0,7.36,10.82,12.2,6.0,8.0,13.0,514.0,372.0,372.0,5.0,6.43,7.52,7.52,29.28,29.28,27.67
SJS,2022,SJS,SJS,Team Level,5on4,60,0.86,0.86,0.84,15362.0,219.4,28.18,20.92,44.71,7.17,132.18,67.85,26.53,28.18,26.53,222.0,79.0,101.0,402.0,26.0,31.0,6.0,35.0,6.0,100.0,103.0,196.0,275.0,7.0,14.0,153.0,13.0,18.0,36.0,199.0,70.0,32.0,5.5,8.78,13.9,4.0,6.0,16.0,402.0,301.0,301.0,5.0,5.4,8.3,8.3,25.28,25.28,24.39,41.89,4.51,2.2,5.97,1.29,13.53,29.49,4.49,4.51,4.49,43.0,14.0,11.0,68.0,7.0,1.0,1.0,8.0,2.0,5.0,34.0,36.0,50.0,3.0,6.0,113.0,46.0,44.0,18.0,39.0,12.0,6.0,1.27,1.38,1.86,1.0,4.0,2.0,68.0,57.0,57.0,15.0,0.5,0.15,0.15,4.86,4.86,4.84
